,"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,asreview_label,asreview_time,asreview_note
140,W658MAHS,journalArticle,2016,,"3rd International Conference on Internet Science, INSCI 2016",Lecture Notes in Computer Science,,03029743 (ISSN); 9789819698936 (ISBN); 9789819698042 (ISBN); 9789819698110 (ISBN); 9789819698905 (ISBN); 9783032004949 (ISBN); 9789819512324 (ISBN); 9783032026019 (ISBN); 9783032008909 (ISBN); 9783031915802 (ISBN); 9789819698141 (ISBN),,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986206641&partnerID=40&md5=c42b2252f96f2e181709a9036b259108,"The proceedings contain 27 papers. The special focus in this conference is on Collective Awareness, crowsourcing Platforms, Collaboration, Privacy, Conformity in Virtual/Social Environments, Internet Interoperability, Freedom, Data Analysis, Smart Cities and sociotechnical Systems. The topics include: Incentive mechanisms for crowdsourcing platforms; results of a collective awareness platforms investigation; debate about the concept of value in commons-based peer production; collective intelligence heuristic; an experimental evidence; web 2.0 in public administration. interdisciplinary postgraduate studies program; application design and engagement strategy of a game with a purpose for climate change awareness; small group processes on computer supported collaborative learning; perceived versus actual predictability of personal information in social networks; conformity in virtual environments; a hybrid neurophysiological and psychosocial approach; interoperable and efficient; linked data for the internet of things; stable topic modeling with local density regularization; an empirically informed taxonomy for the maker movement; semantic integration of web data for international investment decision support; an analysis of IETF activities using mailing lists and social media; assessing media pluralism in the digital age; end-to-end encrypted messaging protocols; making computer and normative codes converge; a sociotechnical approach to smart cities; smart cities tales and trails; privacy through anonymisation in large-scale socio-technical systems; the butlers framework for socio-technical smart spaces and public transportation, IoT, trust and urban habits.",2016,2026-01-17 07:02:48,2026-01-17 07:09:03,,1-327,,,9934 LNCS,,Lect. Notes Comput. Sci.,,,,,,Springer Verlag service@springer.de,,English,,,Scopus,,,,,,,,LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,⛔ No DOI found,"Satsiou, A.; Welp, Y.; Tiropanis, T.; DiFranzo, D.; Stavrakakis, I.; Bagnoli, F.; Nesi, P.; Pacini, G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-01-17 08:20:58,EC4 – Non-scholarly publication type
294,UEQW9FLE,journalArticle,2019,"Curnin, Steven; O'Hara, Danielle",Nonprofit and public sector interorganizational collaboration in disaster recovery: Lessons from the field,Nonprofit Management and Leadership,,"1048-6682, 1542-7854",10.1002/nml.21389,https://onlinelibrary.wiley.com/doi/10.1002/nml.21389,"Recent disasters have identified that collaboration between sectors is often fraught with complexity and resultant failures. This article explores interorganizational collaboration in the nonprofit and public sectors during the disaster recovery efforts after a catastrophic flooding event. Based on a series of in-depth interviews with practitioners involved in the recovery following a flooding event, the findings offer insights into the barriers and mechanisms used to facilitate collaboration. In disaster recovery, collaboration is reliant on established interorganizational structures and trusting relationships. Role clarity is the link between these two characteristics and this article posits the association between this and the concept of swift trust to facilitate collaboration. Theoretically, this article extends an existing multidimensional model of collaboration into the context of emergency management. Importantly it also offers a tangible output for industry in the form of an aide mémoire for collaborating in disaster recovery.",2019-12,2026-01-17 08:04:51,2026-01-17 08:08:46,2025-10-31 11:24:50,277-297,,2,30,,Nonprofit Mgmnt & Ldrshp,Nonprofit and public sector interorganizational collaboration in disaster recovery,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/arjen/kDrive/Zotero/storage/GE8G5ZM6/Curnin en O'Hara - 2019 - Nonprofit and public sector interorganizational collaboration in disaster recovery Lessons from the.pdf,,LR_PriorKnowledge: negative; review:Decision=excluded; review:extra_tags_relevance_high=0; review:extra_tags_relevance_low=0; review:extra_tags_relevance_medium=0; review:Reason=Off Topic; review:Time=2025-10-31 16:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-01-17 08:16:07,
295,EBRZWLDW,journalArticle,2023,"Fitsilis, Fotios; Papastylianou, Anastasia",Training of Greek Public Administrators in Legal Knowledge Management by Using the Legislation Editing Open Software (LEOS),Journal of the Knowledge Economy,,1868-7873,10.1007/s13132-023-01429-z,https://link.springer.com/10.1007/s13132-023-01429-z,"The article describes the evolution of an innovative legal interoperability laboratory within the National School of Public Administration and Local Government in Athens, Greece. While critically analysing its general scope, objectives and structure, the knowledge management perspective of an interoperable legal informatics solution for handling big open legal data is brought into focus. In the context of the laboratory, the use of Legislation Editing Open Software (LEOS), a legal informatics tool that has been developed as a European Union ISA2 solution, is highlighted. Different aspects of and lessons learned from the training of public administrators are discussed while assessing this operations support system for potential use as a webbased authoring tool by the Hellenic public service. The evaluation of both the laboratory and the tool was conducted based on expert surveys, and possible upgrades are discussed to make the training of public administration more efficient.",2023-06-03,2026-01-17 08:05:15,2026-01-17 08:08:51,2025-10-31 11:12:06,7927-7940,,2,15,,J Knowl Econ,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/arjen/kDrive/Zotero/storage/I44X7KA6/Fitsilis en Papastylianou - 2023 - Training of Greek Public Administrators in Legal Knowledge Management by Using the Legislation Editi.pdf,,LR_PriorKnowledge: negative; review:Decision=excluded; review:extra_tags_relevance_high=0; review:extra_tags_relevance_low=0; review:extra_tags_relevance_medium=0; review:Reason=Off Topic; review:Time=2025-10-31 15:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-01-17 08:16:27,
296,EGADCGJF,journalArticle,2023,"Herd, Pamela; Hoynes, Hilary; Michener, Jamila; Moynihan, Donald",Introduction: Administrative Burden as a Mechanism of Inequality in Policy Implementation,RSF: The Russell Sage Foundation Journal of the Social Sciences,,"2377-8253, 2377-8261",10.7758/RSF.2023.9.4.01,http://www.rsfjournal.org/lookup/doi/10.7758/RSF.2023.9.4.01,"Administrative burdens are the frictions that people face in their encounters with public services, leading to meaningful costs that include learning, compliance, and psychological costs. We offer evidence that burdens are a key source and consequence of inequality, resulting in disparate outcomes in people’s access to basic rights. We also detail how these outcomes are patterned by targeting, federalism, bureaucratic pathologies, and the growing use of the private sector and tax system to deliver social welfare benefits. Throughout, we highlight recent and novel contributions, including empirical research in this double issue, that have helped clarify how and why administrative burdens shape inequality. Burdens have not received the political, policy, or research priority that is commensurate with their magnitude or impact on individuals. We conclude by arguing that we need a coherent language and framework to recognize and, where appropriate, reduce burdens across a wide array of policy domains.",2023-09,2026-01-17 08:06:10,2026-01-17 08:08:51,2025-10-31 11:39:25,1-30,,4,9,,rsf,Introduction,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/arjen/kDrive/Zotero/storage/WW98CE99/Herd e.a. - 2023 - Introduction Administrative Burden as a Mechanism of Inequality in Policy Implementation.pdf,,LR_PriorKnowledge: negative; review:Decision=excluded; review:extra_tags_relevance_high=0; review:extra_tags_relevance_low=0; review:extra_tags_relevance_medium=0; review:Reason=Off Topic; review:Time=2025-10-31 16:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-01-17 08:16:44,
15,5MX5ZM43,conferencePaper,2024,"Maratsi, M.I.; Alexopoulos, C.; Charalabidis, Y.",On the Semantic Analysis of Open (Government) Data Portals' Metadata Provision and Schema,ACM Int. Conf. Proc. Ser.,9798400712838 (ISBN); 9798400707254 (ISBN); 9798400717802 (ISBN); 9798400710919 (ISBN); 9798400710063 (ISBN); 9798400707223 (ISBN),,10.1145/3680127.3680130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216117967&doi=10.1145%2F3680127.3680130&partnerID=40&md5=afec2c9df53b66f9565f4e7270203e65,"The ever-increasing amount of data available through Open Data portals follows the momentum and proliferation of Open Data initiatives and, apart from the numerous benefits offered, poses a reality which brings forth several challenges. Metadata quality and management are key aspects in this regard; in their absence affecting the interoperability, findability, and consequently, open data consumption. The present study aims to analyse several semantic aspects of 3 major international data portals and their metadata schemas mapped to the main DCAT schema classes in order to assess the current status regarding metadata provision and aiming towards prospective standardisation and improved semantic interoperability of the datasets available. The analysis revealed several persisting challenges, including the lack of standardised information (e.g., controlled vocabularies) as accepted values of the identified mandatory metadata fields in use, or, in the case of existing standardisation schemas, a misalignment and lack of consensus among the different portals. The study also pinpoints future research lines centred around the elicitation of guidelines and practices to standardise not only descriptive but also domain-specific metadata provision across the portals, facilitating the process towards the identification of minimum sets of metadata descriptions applicable to various contexts, and reaching one step closer to the envisioned interoperable ODPs paradigm. © 2024 Copyright held by the owner/author(s).",2024,2026-01-17 07:02:47,2026-01-17 07:09:03,,147-157,,,,,,,,,,,Association for Computing Machinery,,English,,,Scopus,,,,Journal Abbreviation: ACM Int. Conf. Proc. Ser.,,,,Metadata; Semantic interoperability; Current status; Data consistency; Data portal; Domain-specific metadata; Management IS; Metadata management; Metadata quality; Metadata schema; Open Data; Prospectives; Semantic analysis; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,"Chun, S.A.; Karuri-Sebina, G.; Przeybilovicz, E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-01-17 08:25:23,EC1 – Off-topic
108,RBAYNIIC,conferencePaper,2018,"Schmitz, P.; Francesconi, E.; Hajlaoui, N.; Batouche, B.; Stellato, A.",Semantic interoperability of multilingual language resources by automatic mapping,Lect. Notes Comput. Sci.,03029743 (ISSN); 9789819698936 (ISBN); 9789819698042 (ISBN); 9789819698110 (ISBN); 9789819698905 (ISBN); 9783032004949 (ISBN); 9789819512324 (ISBN); 9783032026019 (ISBN); 9783032008909 (ISBN); 9783031915802 (ISBN); 9789819698141 (ISBN),,10.1007/978-3-319-98349-3_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052893831&doi=10.1007%2F978-3-319-98349-3_12&partnerID=40&md5=0392d092de73fcf4e23b1d6222f5fe8a,"The PMKI project is an European Commission action aiming to create a public multilingual knowledge management infrastructure to support e-commerce solutions in a multilingual environment. Such infrastructure will consist in a set of tools able to create interoperability between multilingual classification systems (like thesauri) and other language resources, so that they can be easily accessible through a Web dissemination platform and reusable by small and medium-sized enterprises (SMEs), as well as by public administrations. In this paper the standards used to represent language resources and a methodology for automatic mapping between thesauri, based on an information retrieval framework, are presented. © Springer Nature Switzerland AG 2018.",2018,2026-01-17 07:02:48,2026-01-17 07:09:03,,153-163,,,11032 LNCS,,,,,,,,Springer Verlag service@springer.de,,English,,,Scopus,,,,Journal Abbreviation: Lect. Notes Comput. Sci.,,,,Interoperability; Semantics; Public administration; Information systems; Information use; Thesauri; Government data processing; Mapping; Semantic interoperability; Information retrieval; Knowledge management; Knowledge management infrastructure; Language resources; Multilingual environments; Telecommunication services; Classification system; Ontolex-Lemon; Semantic mapping; Small and medium-sized enterprise; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,"Francesconi, E.; Ko, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lecture Notes in Computer Science,,,,,,,,,,,,,,,,0,2026-01-17 09:16:13,EC1 – Off-topic
179,FXCKTGCT,conferencePaper,2013,"Maigre, R.; Grigorenko, P.; Haav, H.-M.; Kalja, A.",A semantic method of automatic composition of E-government services,Front. Artif. Intell. Appl.,09226389 (ISSN); 18798314 (ISSN); 9781614993605 (ISBN); 9781643685830 (ISBN); 9781586038311 (ISBN); 9781614994183 (ISBN); 9781614999409 (ISBN); 9781607507987 (ISBN); 1586035770 (ISBN); 9781643685694 (ISBN); 9781643685427 (ISBN); 9781607500490 (ISBN),,10.3233/978-1-61499-161-8-204,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873589293&doi=10.3233%2F978-1-61499-161-8-204&partnerID=40&md5=c5fb7739823635fdb68006bd5775ab1d,"It is hard to automatically find a semantically meaningful web service composition over a huge collection of web services available on the web. However, recent results in semantic web service research and technology could be effectively used within some specific domains. E-government is one of the sectors that need horizontal integration. Therefore, semantic web services and their composition become necessary and applicable in this domain. The paper proposes a semantic method of automatic composition of e-government services. It uses domain ontologies presented in OWL, semantic web services described in SAWSDL, quality of service (QoS) characteristics, ontology reasoning and AI planner in order to automatically provide service plans that could be presented in some service execution language. The approach is motivated by a case study from the domain of the Estonian state information systems. © 2013 The authors and IOS Press. All rights reserved.",2013,2026-01-17 07:02:48,2026-01-17 07:09:03,,204-217,,,249,,,,,,,,IOS Press BV,,English,,,Scopus,,,,Journal Abbreviation: Front. Artif. Intell. Appl.,,,,Semantic Web; Ontology; Quality of service; Web services; Government data processing; Government IS; e-Government; E-government services; e-government; Websites; Semantic Web Services; Web service composition; Semantic web services; Automatic composition; automatic composition method; Automatic composition method; Composition method; Service researches; Webs services; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frontiers in Artificial Intelligence and Applications,,,,,,,,,,,,,,,,0,2026-01-17 09:22:38,EC1 – Off-topic
253,3RM3JWHN,conferencePaper,2008,"Garcia-Sanchez, F.; Álvarez Sabucedo, L.A.; Martínez-Béjar, R.; Anido-Rifón, L.A.; Valencia-García, R.; Gómez-Berbís, J.M.",A knowledge technologies-based multi-agent system for egovernment environments,Lect. Notes Comput. Sci.,03029743 (ISSN); 9789819698936 (ISBN); 9789819698042 (ISBN); 9789819698110 (ISBN); 9789819698905 (ISBN); 9783032004949 (ISBN); 9789819512324 (ISBN); 9783032026019 (ISBN); 9783032008909 (ISBN); 9783031915802 (ISBN); 9789819698141 (ISBN),,10.1007/978-3-540-79968-9_2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349445353&doi=10.1007%2F978-3-540-79968-9_2&partnerID=40&md5=0b4ce822a28f8f2296d9c30d49c7e894,"The increasing volume of eGovernment-related services is demanding new approaches for service integration and interoperability in this domain. Semantic Web technologies and applications can leverage the potential of eGovernment service integration and discovery, facing the problems of semantic heterogeneity of eGovernment information sources and the different levels of interoperability. In line with this, eGovernment services will be semantically described in the foreseeable future. In an environment with semantically- annotated services, software agents are essential as the entities responsible for exploiting the semantic content in order to automate some tasks thus improving the user experience. In this paper, we first present SEMMAS, an ontology-based Multi-Agent framework for seamlessly integrating Intelligent Agents and Semantic Web Services. The proposed framework is independent from both the application and the domain. Our approach is backed with a proof-of-concept implementation where the breakthrough of integrating disparate eGovernment services has been tested. © 2008 Springer-Verlag Berlin Heidelberg.",2008,2026-01-17 07:02:49,2026-01-17 07:09:03,,15-30,,,5006 LNCS,,,,,,,,Springer Verlag,,English,,,Scopus,,,,Journal Abbreviation: Lect. Notes Comput. Sci.,,,,Interoperability; Semantic Web; Ontology; Semantic heterogeneity; Web services; Semantic Web technology; E-government services; Multi agent systems; User experience; Intelligent agents; Service integration; Information sources; Semantic content; Knowledge technologies; Multiagent framework; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lecture Notes in Computer Science,,,,,,,,,,,,,,,,0,2026-01-17 09:25:34,EC2 – Tool- or implementation-only focus
164,QY483A3F,journalArticle,2014,"Lamharhar, H.; Chiadmi, D.; Benhlima, L.",How semantic technologies transform e-government domain: A comparative study and framework,"Transforming Government: People, Process and Policy",,17506166 (ISSN),10.1108/TG-07-2013-0023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893497688&doi=10.1108%2FTG-07-2013-0023&partnerID=40&md5=4a5a1d28f83a5c76542973201f4f1130,"Purpose: In e-government domain, an efficient semantic interoperability of services is a big challenge. In this context, semantic technologies play a fundamental role in numerous e-government programs. Indeed, these technologies enable enriching the public service description provided by different public administrations with additional semantic information, which allows automatic services processing and information exchange between involved members in comprehensive and interpretable manner, thus facilitating service integration and cooperation. The most frequently used technologies in this area are semantic web services (SWS) technology and ontology. Thus, for modelling efficiently public services, the authors have exploring, studying and analyzing some of e-government researches and projects that applied semantic technologies. Design/methodology/approach: In this paper, the authors address how semantic technologies transform the e-government domain through exploring and studying the use of SWS and ontology in numerous researches and projects applying these technologies in this area. Then, the authors have compared them through a set of criteria defined according to e-government requirements such as the SWS modelling approach for describing semantically public services, ontologies for representing governmental specific features (e.g. regulation and organizational structures) and developed portal for supporting user's perspectives. Based on this study, the authors have identified the appropriate standards, frameworks, and models for developing the framework. Findings: The authors have developed a framework for public services which enhances existing approaches with additional aspects. Thus, the approach comparing to other works improves the service ontology with a cognitive semantic approach to support the multiple usage contexts and situations of services. This semantic is developed in form of a Sit/Ctx ontology developed based on CSs model represented through conceptual graphs theory. The authors have used this model besides OWL-S, improving thus the level of automation of discovery and composition process of public services, which become more efficient with taken into consideration their interrelations and situations. Originality/value: The approach comparing to other works improves the service ontology with a cognitive semantic approach to support the multiple usage contexts and situations of public services, providing thus the end-users (people and enterprises) a better orientation in discovery process. © Emerald Group Publishing Limited.",2014,2026-01-17 07:02:48,2026-01-17 07:09:03,,49-75,,1,8,,Trans. Gov. People Process Policy,,,,,,"Emerald Group Publishing Ltd. Howard House Wagon Lane, Bingley BD16 1WA",,English,,,Scopus,,,,,,,,Ontology; e-Government; Semantic technologies; Conceptual structures; OWL-S; Semantic web services; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-01-17 09:36:08,EC2 – Tool- or implementation-only focus
277,XCGZJ6CV,conferencePaper,2006,"Natale, L.P.; Notargiacomo, P.N.; Silva, L.; Silveira, I.F.",An adaptive aspect/feature-oriented common architecture for e-Government,ICEG - 2nd Int. Conf. e-Gov.,9781905305346 (ISBN),,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962349326&partnerID=40&md5=99a62e4f87caa1d34f61438ba19eee65,"The growing technological development, the accelerated devices convergence process and the increasing possibilities for interaction and communication, which are characteristics of 21st century, are introducing changes in all society's instances. In such mediated, networked context, an area that presents considerable development degrees in recent years and uncountable social-cultural, technological challenges is the institutionalization of information processes and/or services in government portals. From this perspective, the present work proposes CAfe-G (Common Architecture for e-Government), a comprehensive web-based framework meant to support interoperability among e-government systems, in order to improve the interaction levels of services provided by governments for their citizens (G2C), to support interaction among different governments (G2G), to assist citizens' requests for government services (C2G), and to enhance the relationship among citizens (C2C). Adaptation concerns are also addressed to support effective CzRM (Citizen Relationship Management). The proposed architecture consists in a bus of services and facilities designed to provide a high level of interoperability through a semantic-driven, upper ontologies-based mechanism for publishing and retrieving of such services and facilities. This approach is aimed to provide virtual spaces and communities for major participation of citizens, thus supplying services integration in order to boost the information exchange among different systems. CAfe-G is CORBA-inspired and it was built over concepts brought from AOP (Aspect-Oriented Programming) and FOP (Feature-Oriented Programming). CAfe-G presents a feature set to represent Services related to Semantic, Life Events-Driven Presentation or pertinent to Facilities like Mobile, iDTV (Interactive Digital Television) and Trading Services. CAfe-G would help to reduce the bureaucracy, increase the transparency in governmental actions, intensify citizens' digital inclusion, and speed the use of technology up in governmental agencies, through the information interoperability among countries, governments and citizens.",2006,2026-01-17 07:02:49,2026-01-17 07:09:03,,170-179,,,,,,,,,,,Academic Conferences Limited info@academic-conferences.org,,English,,,Scopus,,,,Journal Abbreviation: ICEG - 2nd Int. Conf. e-Gov.,,,,Interoperability; Semantics; Government data processing; Architecture; E-Government; E-governments; Technological challenges; Aspect oriented programming; Aspect-oriented programming; Citizen relationship managements; Common architecture; Common object request broker architecture (CORBA); Digital television; Feature oriented programming; Feature-oriented programming; Information interoperability; Interactive computer graphics; Interactive digital televisions; Technological development; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,"Remenyi, D.; Remenyi, D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2026-01-17 09:37:36,EC1 – Off-topic
