"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LBGMFQMM","journalArticle","2026","","24th International Semantic Web Conference, ISWC 2025","Lecture Notes in Computer Science","","03029743 (ISSN); 9789819698936 (ISBN); 9789819698042 (ISBN); 9789819698110 (ISBN); 9789819698905 (ISBN); 9783032004949 (ISBN); 9789819512324 (ISBN); 9783032026019 (ISBN); 9783032008909 (ISBN); 9783031915802 (ISBN); 9789819698141 (ISBN)","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021962810&partnerID=40&md5=f0a7a9fa107601b31a425b4b058a3a62","The proceedings contain 60 papers. The special focus in this conference is on Semantic Web. The topics include: Sparqloscope: A Generic Benchmark for the Comprehensive and Concise Performance Evaluation of SPARQL Engines; benchmarking Knowledge Editing Using Logical Rules; ExeKGLib: A Platform for Machine Learning Analytics Based on Knowledge Graphs; Are LLMs Really Knowledgeable for Knowledge Graph Completion?; SHACL Dashboard: Analyzing Data Quality Reports Over Large-Scale Knowledge Graphs; cnChemNER: A Dataset for Chinese Chemical Named Entity Recognition; mammoTab 25: A Large-Scale Dataset for Semantic Table Interpretation - Training, Testing, and Detecting Weaknesses; virtual Knowledge Graphs over Earth Observation Data; from Legal Texts to Structured Knowledge: A Comprehensive Pipeline for Legal Text Summarization; HealthEQKG: A Knowledge Graph and Data Model for Health Equity Research; co-creating an Ontology of Online Gender-Based Harms: An Interdisciplinary Perspective; GeoOutageKG: A Multimodal Geospatiotemporal Knowledge Graph for Multiresolution Power Outage Analysis; gpuRDF2vec – Scalable GPU-Based RDF2vec; a Domain Ontology for Ishikawa Diagrams to Enhance Root Cause Analysis; montoFlow – A Maritime Ontology Framework for Modeling Ship Sensory Systems; RDFMutate : Mutation-Based Generation of Knowledge Graphs; COTTAS: Columnar Triple Table Storage for Efficient and Compressed RDF Management; SSBD Ontology: A Two-Tier Approach for Interoperable Bioimaging Metadata; semantic-Aware Streaming Learning for Anomalous Event Detection in Power Grids; open Government Data as Multi-dimensional 5 Star Data: cube.link; A DataOps Toolbox Enabling Continuous Semantic Integration of Devices for Edge-Cloud AI Applications; Using Semantic Technologies in the Railway Domain: The Register of Infrastructure (RINF) System; Enhancing Transparency in Smart Grids: the SENSE Framework; Federated FAIR Semantic Artefacts Discovery and Search with OntoPortal Federation.","2026","2026-01-17 07:02:47","2026-01-17 07:30:40","","","","","16141 LNCS","","Lect. Notes Comput. Sci.","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","","","","https://www.crossref.org/openurl?pid=zoteroDOI@wiernik.org&url_ver=Z39.88-2004&ctx_ver=Z39.88-2004&rfr_id=info%3Asid%2Fzotero.org%3A2&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=24th%20International%20Semantic%20Web%20Conference%2C%20ISWC%202025&rft.jtitle=Lecture%20Notes%20in%20Computer%20Science&rft.stitle=Lect.%20Notes%20Comput.%20Sci.&rft.volume=16141%20LNCS&rft.aufirst=D.&rft.aulast=Garijo&rft.au=D.%20Garijo&rft.au=S.%20Kirrane&rft.au=A.%20Salatino&rft.au=C.%20Shimizu&rft.au=M.%20Acosta&rft.au=A.G.%20Nuzzolese&rft.au=S.%20Ferrada&rft.au=T.%20Soulard&rft.au=K.%20Kozaki&rft.au=H.%20Takeda&rft.au=A.L.%20Gentile&rft.date=2026&rft.issn=03029743%20(ISSN)%3B%209789819698936%20(ISBN)%3B%209789819698042%20(ISBN)%3B%209789819698110%20(ISBN)%3B%209789819698905%20(ISBN)%3B%209783032004949%20(ISBN)%3B%209789819512324%20(ISBN)%3B%209783032026019%20(ISBN)%3B%209783032008909%20(ISBN)%3B%209783031915802%20(ISBN)%3B%209789819698141%20(ISBN)&rft.language=English","LR_Query: Scopus_02; LR_SearchDate: 2026-01-17","❓ Multiple DOI","Garijo, D.; Kirrane, S.; Salatino, A.; Shimizu, C.; Acosta, M.; Nuzzolese, A.G.; Ferrada, S.; Soulard, T.; Kozaki, K.; Takeda, H.; Gentile, A.L.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHDNP6C4","journalArticle","2025","Guzmán, A.R.; Karunaratne, T.","A Framework for Efficient Semantic Elicitation of EU-Wide Evidence for Public Services","Digital Government: Research and Practice","","26390175 (ISSN)","10.1145/3757064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026657813&doi=10.1145%2F3757064&partnerID=40&md5=45f672e6eed49c48f4ca0b01345bc5a7","Digital implementation of the Once-Only Principle (OOP) reduces the administrative burden of accessing public services and enhances public administration performance. It also facilitates the mobility of citizens and businesses within the European Union through legal and effective EU-wide evidence. However, despite the existence of several semantic standards, a lack of an ontology for EU-wide evidence persists, primarily due to the low level of EU harmonisation of information that may prove compliance with procedural requirements. Building EU-wide evidence involves several cross-border communities of practice, composed of experts with different technical, legal, organisational, semantic, idiomatic and cultural backgrounds, spanning various public administration levels and sectors. This diversity introduces a range of cross-border, socio-technical challenges that have not been directly addressed in existing literature or by European projects and initiatives. Based on the lessons learned from the Digital Europe for All (DE4A) large-scale pilot project, the DE4A EU-wide OOP Semantic Elicitation Framework (DEOSEF) is proposed to guide business and semantic experts in the elicitation of EU-wide evidence for target public services, through a collaborative, context-aware, and iterative agile process involving diverse communities of practice. This paper presents DEOSEF as a foundational step for future initiatives involving a combined semantic elicitation-creation of EU-wide evidence. © 2025 Copyright held by the owner/author(s).","2025","2026-01-17 07:02:47","2026-01-17 07:09:03","","","","4","6","","Digit. Gov. Res. Pract.","","","","","","Association for Computing Machinery","","English","","","Scopus","","","","","","","","Interoperability; Semantic Web; Semantics; Administrative burdens; Communities of Practice; Cross-border; cross-border interoperability; Cross-border interoperability; Digital implementation; Digital public service; digital public services; European union; Once-only principle; Performance; Public administration; Public services; Regulatory compliance; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8ZNM72H","journalArticle","2025","Spyropoulos, A.Z.; Tsiantos, V.","Interoperable Semantic Systems in Public Administration: AI-Driven Data Mining from Law-Enforcement Reports","Computers","","","10.3390/computers14090376","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017422163&doi=10.3390%2Fcomputers14090376&partnerID=40&md5=f28d98bcb53908e1117d3290e875a156","The digitisation of law-enforcement archives is examined with the aim of moving from static analogue records to interoperable semantic information systems. A step-by-step framework for optimal digitisation is proposed, grounded in archival best practice and enriched with artificial-intelligence and semantic-web technologies. Emphasis is placed on semantic data representation, which renders information actionable, searchable, interlinked, and automatically processed. As a proof of concept, a large language model—OpenAI ChatGPT, version o3—was applied to a corpus of narrative police reports, extracting and classifying key entities (metadata, persons, addresses, vehicles, incidents, fingerprints, and inter-entity relationships). The output was converted to Resource Description Framework triples and ingested into a triplestore, demonstrating how unstructured text can be transformed into machine-readable, interoperable data with minimal human intervention. The approach’s challenges—technical complexity, data quality assurance, information-security requirements, and staff training—are analysed alongside the opportunities it affords, such as accelerated access to records, cross-agency interoperability, and advanced analytics for investigative and strategic decision-making. Combining systematic digitisation, AI-driven data extraction, and rigorous semantic modelling ultimately delivers a fully interoperable information environment for law-enforcement agencies, enhancing efficiency, transparency, and evidentiary integrity. © 2025 by the authors.","2025","2026-01-17 07:02:47","2026-01-17 07:09:03","","","","9","14","","Comput.","","","","","","Multidisciplinary Digital Publishing Institute (MDPI)","","English","","","Scopus","","","","","","","","Interoperability; Semantic Web; Ontology; interoperability; Public administration; Digitisation; Metadata; Information use; Law enforcement; Advanced Analytics; archive digitization; Archive digitization; artificial intelligence; Data mining; Decision making; digital transformation; Digital transformation; Enforcement authorities; knowledge representation; Knowledge representation; Knowledge-representation; law-enforcement authorities; Law-enforcement authority; ontologies; Ontology's; Personnel training; Quality assurance; Security of data; Semantic systems; semantic web; Semantic-Web; SPARQL queries; SPARQL query; LR_Query: Scopus_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5QQIK6B","journalArticle","2025","Sepehri, S.; Heymans, A.; Win, D.D.; Maushagen, J.; Sanctorum, A.; Debruyne, C.; Rodrigues, R.M.; Kock, J.D.; Rogiers, V.; de Troyer, O.D.; Vanhaecke, T.","The TOXIN knowledge graph: supporting animal-free risk assessment of cosmetics","Database : the journal of biological databases and curation","","17580463 (ISSN)","10.1093/database/baae121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216871520&doi=10.1093%2Fdatabase%2Fbaae121&partnerID=40&md5=1a8416a8b161d9802c81cca45149b3db","The European Union's ban on animal testing for cosmetic products and their ingredients, combined with the lack of validated animal-free methods, poses challenges in evaluating their potential repeated-dose organ toxicity. To address this, innovative strategies like Next-Generation Risk Assessment (NGRA) are being explored, integrating historical animal data with new mechanistic insights from non-animal New Approach Methodologies (NAMs). This paper introduces the TOXIN knowledge graph (TOXIN KG), a tool designed to retrieve toxicological information on cosmetic ingredients, with a focus on liver-related data. TOXIN KG uses graph-structured semantic technology and integrates toxicological data through ontologies, ensuring interoperable representation. The primary data source is safety information on cosmetic ingredients from scientific opinions issued by the Scientific Committee on Consumer Safety between 2009 and 2019. The ToxRTool automates the reliability assessment of toxicity studies, while the Simplified Molecular Input Line Entry System (SMILES) notation standardizes chemical identification, enabling in silico prediction of repeated-dose toxicity via the implementation of the Organization for Economic Co-operation and Development Quantitative Structure-Activity Relationship Toolbox (OECD QSAR Toolbox). The ToXic Process Ontology, enriched with relevant biological repositories, is employed to represent toxicological concepts systematically. Search filters allow the identification of cosmetic compounds potentially linked to liver toxicity. Data visualization is achieved through Ontodia, a JavaScript library. TOXIN KG, filled with information for 88 cosmetic ingredients, allowed us to identify 53 compounds affecting at least one liver toxicity parameter in a 90-day repeated-dose animal study. For one compound, we illustrate how TOXIN KG links this observation to hepatic cholestasis as an adverse outcome. In an ab initio NGRA context, follow-up in vitro studies using human-based NAMs would be necessary to understand the compound's biological activity and the molecular mechanism leading to the adverse effect. In summary, TOXIN KG emerges as a valuable tool for advancing the reusability of cosmetics safety data, providing knowledge in support of NAM-based hazard and risk assessments. Database URL: https://toxin-search.netlify.app/. © 2025 The Author(s). Published by Oxford University Press.","2025","2026-01-17 07:02:47","2026-01-17 07:09:03","","","","","2025","","Database","","","","","","Oxford University Press","","English","","","Scopus","","","","","","","","animal; animal testing alternative; Animal Testing Alternatives; Animals; chemistry; cosmetic; Cosmetics; human; Humans; procedures; quantitative structure activity relation; Quantitative Structure-Activity Relationship; risk assessment; Risk Assessment; LR_Query: Scopus_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MDST2H8","conferencePaper","2025","Calancea, C.-G.; Alboaie, L.","Semantic and LLM-Enhanced Data Integration for FAIR-Compliant B2B and B2G Ecosystems","Procedia Comput. Sci.","18770509 (ISSN); 9781510849914 (ISBN)","","10.1016/j.procs.2025.09.327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024060984&doi=10.1016%2Fj.procs.2025.09.327&partnerID=40&md5=51f4bd30b09cb8a950b784c8f6c2d2be","In today's data-driven environment, organizations increasingly depend on high-quality, interoperable data. This research presents a scalable, FAIR-compliant (Findable, Accessible, Interoperable, Reusable) data integration and governance framework for business-to-business (B2B) and business-to-government (B2G) contexts, addressing both metadata and data interoperability. The solution combines ETL pipelines, Semantic Web technologies, and Large Language Models (LLMs). Metadata interoperability is achieved via RDF schemas, SKOS vocabularies, and linked data principles; data-level integration is supported through schema mapping, format conversion, and LLM-assisted transformation. A dynamic ETL process uses semantic schema mapping and LLM-driven vocabulary suggestions to reduce manual alignment with domain ontologies. The framework is validated through a formal evaluation strategy combining real-world B2B and B2G case studies with comparative analysis against existing solutions. The system's applicability spans across critical B2B and B2G scenarios in domains such as finance, healthcare, public administration and logistics, illustrating its capacity to enable trustworthy data sharing and governance across institutional and organizational boundaries. © 2025 Elsevier B.V.. All rights reserved.","2025","2026-01-17 07:02:47","2026-01-17 07:09:03","","2066-2075","","","270","","","","","","","","Elsevier B.V.","","English","","","Scopus","","","","Journal Abbreviation: Procedia Comput. Sci.","","","","Interoperability; Semantic Web; Ontology; Public administration; Metadata; Integration; Language model; B2B2G data sharing; B2B2G Data Sharing; Continuous Data Integration; Continuous data integrations; Data governances; Data integration; Data Sharing; Enterprise data; Enterprise data governance; Enterprise Data Governance; Government data processing; Large language model-assisted semantic data modeling; LLM-assisted Semantic Data Modeling; Mapping; Metadata interoperability; Semantic data model; LR_Query: Scopus_02","","Chen, Y.-W.; Howlett, R.J.; Howlett, R.J.; Jain, L.C.; Jain, L.C.; Flearmoy, J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Procedia Computer Science","","","","","","","","","","","","","","",""
"N3ED883V","journalArticle","2025","Nguyen, M.D.","Towards a comprehensive land use rights management system: Blockchain and semantics integration with legal compliance in Vietnam","Artificial Intelligence and Law","","09248463 (ISSN)","10.1007/s10506-025-09486-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022247594&doi=10.1007%2Fs10506-025-09486-2&partnerID=40&md5=f00417d9521dda52dd6ac7cafc1c6cec","Land use rights (LUR) management plays a vital role in ensuring transparency, legal certainty, and socio-economic development. In countries like Vietnam, where land-related procedures are governed by a comprehensive legal framework, practical challenges persist due to uncoordinated records and complex administrative processes. To support the country’s ongoing digital transformation and legal modernization efforts, this paper introduces ViLUR, a system that integrates blockchain and semantic technologies to manage LUR in compliance with Vietnam’s 2024 Land Law and related regulations. ViLUR combines blockchain technology for secure, immutable record-keeping with the Land Use Rights Ontology (LUROn), which formally models ownership structures, legal entities, and regulatory constraints. Using Semantic Web Rule Language (SWRL) rules, the system automates legal compliance checks for key procedures including ownership issuance, change registration, and land recovery. Deployed on the Hyperledger Fabric framework, ViLUR is experimentally evaluated in terms of throughput, latency, and reasoning time. Results show promising improvements in transaction speed, transparency, and legal consistency. The system demonstrates practical potential for modernizing land administration and aligns closely with Vietnam’s national goals for e-government and digital transformation. © The Author(s), under exclusive licence to Springer Nature B.V. 2025.","2025","2026-01-17 07:02:47","2026-01-17 07:09:03","","","","","","","Artif Intell Law","","","","","","Springer Nature","","English","","","Scopus","","","","","","","","Ontology; Semantics; Blockchain; Legal compliance; LUR in Vietnam; SWRL rule; LR_Query: Scopus_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBIPYEY4","conferencePaper","2025","Bongini, A.; Biagini, C.; Marzi, L.; Sparacino, M.","A Framework for the Integration of BIM Models, Facility Management Services and IoT Data Through Semantic Web Technologies","Lect. Notes Civ. Eng.","23662557 (ISSN); 9789819620951 (ISBN); 9783031951060 (ISBN); 9783031976964 (ISBN); 9783031976889 (ISBN); 9789819679706 (ISBN); 9789819677986 (ISBN); 9783031951145 (ISBN); 9789819685356 (ISBN); 9789819674879 (ISBN); 9789819688333 (ISBN)","","10.1007/978-981-96-8761-9_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022194468&doi=10.1007%2F978-981-96-8761-9_8&partnerID=40&md5=2d43e7adf41d50e214b7c056eb01d126","Today, information exchange in the AECO industry, in the different phases of the building process, typically occurs through file transfers in heterogeneous formats, with limited communication between parties. This results in potential data management issues, such as redundancy and write errors. While efforts to standardize data exchange date back to the 90 s, with formats like STEP and IFC, the challenge of interoperability remains. It’s important therefore to set up integrated management systems and interoperable cloud-based technologies. The rise of open semantic standards by W3C and other organizations in recent decades has been significant, but a cohesive connection between different ontologies is necessary for the realization of Digital Twin technology, which represents the life cycle of a building, not just the design phase. After a brief introduction to Linked Data and its applications in the building industry, this work focuses on developing a data management methodology for the use and management of existing real estate assets by public administrations, with emphasis on integrating BIM models with existing asset databases using semantic web technologies like RDF, OWL, and SPARQL. The contribution is part of a broader research activity carried out as part of the PNR Project, “BIM2DT. BIM-to-Digital Twin: information management to support decision-making in the building life cycle”. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","2025","2026-01-17 07:02:47","2026-01-17 07:09:03","","121-138","","","683 LNCE","","","","","","","","Springer Science and Business Media Deutschland GmbH","","English","","","Scopus","","","","Journal Abbreviation: Lect. Notes Civ. Eng.","","","","Interoperability; Semantic Web; Ontology; Public administration; Architectural design; Digital twin; Information management; Data integration; BIM; Building process; Construction industry; Electronic data interchange; Electronic document exchange; Facilities; Facilities management; Facility Management; Facility management services; File transfers; IFC; Information exchanges; Life cycle; Limited communication; Linked Data; Office buildings; Semantic Web technology; Time-series DB; Times series; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17","","Noroozinejad Farsangi, E.; Rasouli, A.; Dawood, N.; Morrison, G.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lecture Notes in Civil Engineering","","","","","","","","","","","","","","",""
"PW873RVN","conferencePaper","2025","Schnitzhofer, F.; Schuetz, C.G.","Towards a Scalable Architecture for Legal Ontologies Integrated into Digital Twins of Administrative Law","CEUR Workshop Proc.","16130073 (ISSN); 9789666544899 (ISBN); 9788073780029 (ISBN); 9788024810256 (ISBN); 9789986342748 (ISBN); 9788073781712 (ISBN); 9782954494807 (ISBN); 9788024823911 (ISBN); 9789562361989 (ISBN); 8024810255 (ISBN); 807378002X (ISBN)","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019643757&partnerID=40&md5=2da6da1c21e059f7d8e4ac76fe9cee1a","Administrative-law provisions are still published almost exclusively in natural language, forcing every stakeholder to translate identical rules into bespoke code bases—a practice that invites inconsistency, hampers transparency, and inflates maintenance costs. Recent work on Digital Twins for Administrative Law (DTAL)[1] suggests that legislation be issued together with machine-readable ontologies and executable logic, yet guidance on how to architect such systems remains scarce. In this work we propose a layered reference architecture that separates (i) the natural-language statute, (ii) a core ontology expressed in OWL, (iii) a configuration layer for mutable policy parameters, and (iv) an executable-rule layer exposed through a RESTful and MCP façade. Grounded in design science research, we implemented a proof-of-concept twin of the Upper-Austrian tourism-levy statute and qualitatively evaluate the twin with legal, software, and public-administration experts. Early results[2] suggest that ontology-driven twins can reduce duplicate implementations, streamline updates, and enhance legal certainty, thereby strengthening the Rule of Law in automated decision-making. © 2025 Copyright for this paper by its authors.","2025","2026-01-17 07:02:47","2026-01-17 07:09:03","","","","","4064","","","","","","","","CEUR-WS","","English","","","Scopus","","","","Journal Abbreviation: CEUR Workshop Proc.","","","","Interoperability; Ontology; Semantics; Natural languages; Public administration; Digital twin; Decision making; Ontology's; Administrative law; Architecture; Automated decision making; Automated Decision-Making; Automation; Digital integrated circuits; Digital Twins; Executables; Forcings; Intelligent systems; Legal Ontologies; Legal ontology; Maintenance cost; Scalable architectures; Semantic interoperability; Semantic Interoperability; LR_Query: Scopus_02","","Chaves-Fraga, D.; Heibi, I.; Garijo, D.; Collarana, D.; Salatino, A.; Vahdati, S.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CEUR Workshop Proceedings","","","","","","","","","","","","","","",""
"XEMT9I4E","journalArticle","2025","Antunes, A.L.; Barateiro, J.; Cardoso, E.","Application of Semantic Web Techniques in DW/BI Systems for Strategic Management","IEEE Access","","","10.1109/ACCESS.2025.3610577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016745540&doi=10.1109%2FACCESS.2025.3610577&partnerID=40&md5=46742e7cc571c01abdb09ab0c207f5ef","Semantic Web techniques, such as ontologies, facilitate data and knowledge sharing in Information Systems due to their semantic formalization and inference qualities. Integrating knowledge-based artifacts into Decision Support Systems, such as Data Warehouse and Business Intelligence (DW/BI) systems, can provide new information sources, enable new analytical capabilities, and enhance decision-making. In previous work, the Balanced Scorecard Ontology (BSO) was developed to represent knowledge related to the Balanced Scorecard framework, including its concepts and relationships. The BSO was used to assess strategy formulation, implementation, and execution in a public sector organization, demonstrating its impact on strategy management. However, manual ontology population, especially related to performance indicator values, can lead to challenges in data availability, acquisition frequency, and quality. This paper proposes a semantic approach to integrating, aligning, and ensuring traceability between strategy and DW/BI systems. The Light Data Warehouse Ontology is introduced to represent the DW conceptual and logical models and semantically connect them with strategic information using the BSO. This integration enriches strategy analysis by providing strategic context to the BI environment and enabling automatic retrieval of performance indicator values. The proposed framework improves decision-making efficiency, reliability, and timeliness, providing managers with a data-driven environment aligned with organizational strategy. © 2013 IEEE.","2025","2026-01-17 07:02:47","2026-01-17 07:09:03","","163103-163119","","","13","","IEEE Access","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","","","","","Semantic Web; Ontology; Information use; Decision making; Ontology's; semantic web; Semantic-Web; Balanced scorecard; balanced scorecard ontology; Balanced scorecard ontology; Balanced scorecards; Business intelligence systems; Data quality; Data reliability; Data warehouse/business intelligence system; data warehouse/business intelligence systems; Data warehouses; Decision support systems; Decisions makings; Information retrieval; Knowledge based systems; Knowledge management; Semantic-Web techniques; strategic management; Strategic management; Strategic planning; LR_Query: Scopus_02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V7VAXKBB","bookSection","2025","Last, D.; Żakowska, M.","Professional Military Education, Modern War, and Grey Zones","Mod. War and Grey Zones: Des. for Small States","9781032550374 (ISBN); 9781040365557 (ISBN)","","10.4324/9781003428701-28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015240444&doi=10.4324%2F9781003428701-28&partnerID=40&md5=4eb9aa9c6d59353e761ab562d93a8307","This chapter revisits the major themes of this book and discusses implications. The ontology of war has changed. Preserving the adversarial qualities of democratic societies risks failures of ignorance, exaggeration, and misdirection. Preserving global commons remains essential for security. Design thinking offers tools to explore problems and develop creative solutions. Society itself is both an asset and a potential target for Grey Zone threats. Tools for response depend on greater awareness and investment in information, monitoring, and interagency coordination. Strategies and defensive tools must integrate traditionally separate expertise. Security education should be holistic, preparing the professionals of most countries for cross-domain employment. Military, paramilitary, police, intelligence, and public service, as inverted professions, will require early exposure to each other. Much of the necessary talent will not be in uniform, and civil-military distinctions are increasingly blurred. Breaking rules and playing dirty seems to incur low costs for major powers, and most countries must be ready for these tactics. War in the Grey Zone creates new demands on security professionals. © 2025 selection and editorial matter, Marzena Żakowska and David Last.","2025","2026-01-17 07:02:47","2026-01-17 07:09:03","","240-247","","","","","","","","","","","Taylor and Francis","","English","","","Scopus","","","","Journal Abbreviation: Mod. War and Grey Zones: Des. for Small States","","","","Ontology's; Creative solutions; Cross-domain; Design thinking; Global commons; Gray zone; Information monitoring; Investments; Military education; Potential targets; Security education; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
