,"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,asreview_label,asreview_time,asreview_note
293,LEL6NPEF,journalArticle,2024,"Hyvönen, Eero",How to create and use a national cross-domain ontology and data infrastructure on the Semantic Web,Semantic Web,,"22104968, 15700844",10.3233/SW-243468,https://journals.sagepub.com/doi/full/10.3233/SW-243468,"This paper presents a model and lessons learned for creating a cross-domain national ontology and Linked (Open) Data (LOD) infrastructure. The idea is to extend the global, domain agnostic “layer cake model” underlying the Semantic Web with domain speciﬁc and local features needed in applications. To test and demonstrate the infrastructure, a series of LOD services and portals in use have been created in 2002–2023 that cover a wide range of application domains. They have attracted millions of users in total suggesting feasibility of the proposed model. This line of research and development is unique due to its systematic national level nature and long time span of over twenty years.",2024-10-04,2026-01-17 07:51:34,2026-01-17 08:09:15,2025-11-21 21:13:39,1499-1513,,4,15,,SW,,,,,,,,en,,,,,DOI.org (Crossref),,,,/Users/arjen/kDrive/Zotero/storage/WE6Z2SYE/Hyvönen - 2024 - How to create and use a national cross-domain ontology and data infrastructure on the Semantic Web.pdf,,review:Decision=included; review:extra_tags_relevance_high=1; DONE; LR_Previous Studies; LR_PriorKnowledge: positive,,"Corcho, Oscar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-01-17 08:15:06,
44,Z99ZINX6,conferencePaper,2022,"Karunaratne, T.; Kontopoulos, E.; Konstantinidis, I.; Guzmán Carbonell, A.R.",A Canonical Evidence-based Approach for Semantic Interoperability in Cross-border and Cross-domain e-Government Services,ACM Int. Conf. Proc. Ser.,21531633 (ISSN); 9781450377881 (ISBN); 9781450385855 (ISBN); 9781450314398 (ISBN); 9781450396387 (ISBN); 9781450390019 (ISBN); 9781450390217 (ISBN); 9781450348270 (ISBN); 9781450381963 (ISBN); 9781450322485 (ISBN); 9781450348201 (ISBN),,10.1145/3560107.3560299,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142647227&doi=10.1145%2F3560107.3560299&partnerID=40&md5=f545d8e22c120f88d4cf1b24abbda2e2,"This paper demonstrates a proof of concept for cross-border information exchange guided by the single digital gateway regulation (SDGR) and once-only principle (OOP). The research systematically investigates the challenges and limitations of existing solutions for semantic interoperability. Furthermore, the concept of canonical evidence is introduced as a tool for the cross-border exchange of structured data automatically with less ambiguity and in compliance with the legal requirements of the selected public services. A design science research approach in an agile set-up is applied in the artefact (canonical evidences) development process. The requirements are elicited based on eight case studies set up in the context of the EU initiative, Digital Europe for all (De4a). The data models developed in this study are in compliance with the requirements and provisions of a selected set of EU member states. The outcome of the study includes eleven evidence types that could be reusable in executing procedures of respective e-Government services. © 2022 Owner/Author.",2022,2026-01-17 07:02:47,2026-01-17 08:09:22,,131-139,,,,,,,,,,,Association for Computing Machinery,,English,,,Scopus,,,,Journal Abbreviation: ACM Int. Conf. Proc. Ser.,,/Users/arjen/kDrive/Zotero/storage/SPVEC4WB/Karunarathne e.a. - 2022 - A Canonical Evidence-based Approach for Semantic Interoperability in Cross-border and Cross-domain e.pdf,,Interoperability; Semantics; review:Decision=included; review:extra_tags_relevance_low=0; review:extra_tags_relevance_high=1; review:extra_tags_relevance_medium=0; review:Time=2025-10-31 15:57; DONE; Cross-border; Public services; Information exchanges; Semantic interoperability; Cross-domain; E-government services; Evidence-based; Information services; Legal requirements; Proof of concept; Structured data; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17; LR_Previous Studies; LR_PriorKnowledge: positive,,"Amaral, L.; Soares, D.; Zheng, L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACM International Conference Proceeding Series,,,,,,,,,,,,,,,,1,2026-01-17 08:15:31,
292,57Y48HDV,journalArticle,2023,"Maratsi, Maria Ioanna; Charalabidis, Yannis; Alexopoulos, Charalampos",A Categorization of Cross-Domain Semantic Interoperability Challenges for Open (Government) Data,,,,10.5281/zenodo.8405353,,"The benefits of open data have by now been extensively investigated. However, the generated data grows at a rapid pace and, with it, a plethora of concerns including, among others, data quality, interpretability, machine-readability, and interoperability. The present study aims to review recent literature regarding the semantic interoperability challenges for open (and government) data and to examine the status for difficult areas of research which have not yet been sufficiently addressed. The literature review revealed various sector-specific but also general, cross-domain challenges, which were then categorized into four groups according to the source where the issue usually stems from. As far as the status of approaches to the identified challenges is concerned, there appears to be a tendency to avoid fit-to-all solutions and instead follow a more domain-specific strategy to enable semantic interoperability, and allow for cross-domain reuse, wherever this is possible.",2023-09,2026-01-17 07:51:33,2026-01-17 08:09:22,,,,,,,,,,,,,,,en,,,,,Zotero,,,,/Users/arjen/kDrive/Zotero/storage/ESSFURG4/Maratsi e.a. - A Categorization of Cross-Domain Semantic Interoperability Challenges for Open (Government) Data.pdf,,review:Decision=included; review:extra_tags_relevance_high=1; DONE; LR_Previous Studies; LR_PriorKnowledge: positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-01-17 08:15:49,
268,ZKQF64CD,conferencePaper,2007,"Pan, Z.; Qasem, A.; Kanitkar, S.; Prabhakar, F.; Heflin, J.",Hawkeye: A practical large scale demonstration of Semantic Web integration,Lect. Notes Comput. Sci.,03029743 (ISSN); 9789819698936 (ISBN); 9789819698042 (ISBN); 9789819698110 (ISBN); 9789819698905 (ISBN); 9783032004949 (ISBN); 9789819512324 (ISBN); 9783032026019 (ISBN); 9783032008909 (ISBN); 9783031915802 (ISBN); 9789819698141 (ISBN),,10.1007/978-3-540-76890-6_39,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38349070426&doi=10.1007%2F978-3-540-76890-6_39&partnerID=40&md5=5e238bfee4466dce2d5639a7ce94aae7,"We discuss our DLDB knowledge base system and evaluate its capability in processing a very large set of real-world Semantic Web data. Using DLDB, we have constructed the Hawkeye knowledge base, in which we have loaded more than 166 million facts from a diverse set of real-world data sources. We use this knowledge base to demonstrate realistic integration queries in egovernment and academic scenarios. In order to support Hawkeye, we extended DLDB with additional reasoning capabilities. At present, the Semantic Web consists of numerous independent ontologies. We demonstrate that OWL can be used to integrate these ontologies and thereby integrate the data sources that commit to them. In terms of performance, we show that the load time of our system is linear on the number of triples loaded. Furthermore, we show that many complex queries have response times under one minute, and that simple queries can be answered in seconds. © Springer-Verlag Berlin Heidelberg 2007.",2007,2026-01-17 07:02:49,2026-01-17 07:09:03,,1115-1124,,PART 2,4806 LNCS,,,,,,,,Springer Verlag,,English,,,Scopus,,,,Journal Abbreviation: Lect. Notes Comput. Sci.,,,,Semantic Web; Knowledge based systems; Virtual reality; Large scale systems; Integrated control; Logic programming; Real-world data sources; Real-world Semantic Web data; Reasoning capabilities; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lecture Notes in Computer Science,,,,,,,,,,,,,,,,1,2026-01-17 08:21:26,
1,JHDNP6C4,journalArticle,2025,"Guzmán, A.R.; Karunaratne, T.",A Framework for Efficient Semantic Elicitation of EU-Wide Evidence for Public Services,Digital Government: Research and Practice,,26390175 (ISSN),10.1145/3757064,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026657813&doi=10.1145%2F3757064&partnerID=40&md5=45f672e6eed49c48f4ca0b01345bc5a7,"Digital implementation of the Once-Only Principle (OOP) reduces the administrative burden of accessing public services and enhances public administration performance. It also facilitates the mobility of citizens and businesses within the European Union through legal and effective EU-wide evidence. However, despite the existence of several semantic standards, a lack of an ontology for EU-wide evidence persists, primarily due to the low level of EU harmonisation of information that may prove compliance with procedural requirements. Building EU-wide evidence involves several cross-border communities of practice, composed of experts with different technical, legal, organisational, semantic, idiomatic and cultural backgrounds, spanning various public administration levels and sectors. This diversity introduces a range of cross-border, socio-technical challenges that have not been directly addressed in existing literature or by European projects and initiatives. Based on the lessons learned from the Digital Europe for All (DE4A) large-scale pilot project, the DE4A EU-wide OOP Semantic Elicitation Framework (DEOSEF) is proposed to guide business and semantic experts in the elicitation of EU-wide evidence for target public services, through a collaborative, context-aware, and iterative agile process involving diverse communities of practice. This paper presents DEOSEF as a foundational step for future initiatives involving a combined semantic elicitation-creation of EU-wide evidence. © 2025 Copyright held by the owner/author(s).",2025,2026-01-17 07:02:47,2026-01-17 07:09:03,,,,4,6,,Digit. Gov. Res. Pract.,,,,,,Association for Computing Machinery,,English,,,Scopus,,,,,,,,Interoperability; Semantic Web; Semantics; Administrative burdens; Communities of Practice; Cross-border; cross-border interoperability; Cross-border interoperability; Digital implementation; Digital public service; digital public services; European union; Once-only principle; Performance; Public administration; Public services; Regulatory compliance; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-01-17 08:21:44,
171,R58IATII,conferencePaper,2013,"Foulonneau, M.; Marrinan, F.; Karalius, N.; Dziamski, O.; Gordon, T.; Hartenstein, H.; Rieger, S.; Weigend, K.; Mitzman, D.; Turki, S.; Djaghloul, Y.; Merche, J.-F.",A semantic interoperability layer to support the implementation of the service directive,"Proc. European Conf. on e-Gov., ECEG",20491034 (ISSN); 9781908272010 (ISBN); 9781910810989 (ISBN); 1905305184 (ISBN); 9781906638085 (ISBN); 9781905305186 (ISBN); 9781909507326 (ISBN); 9781905305001 (ISBN); 9781911218388 (ISBN); 9781910810194 (ISBN); 9781906638634 (ISBN),,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006513568&partnerID=40&md5=580b1bc5d0665bd68fa8e5006f5e160e,"The main purpose of the paper is to present a case study of the use of semantic technologies within e- Government context. We aim to describe the semantic layer that was designed in the scope of the SPOCS project to enable the validation of documents in the scope of cross border procedures. The SPOCS project (Simple Procedures Online for Cross- Border Services)1 focuses in particular on the transfer of documents to European administrations in the scope of procedures to deliver services across borders. One of the problems that arise is the heterogeneity of documents between countries even they have the same role. With the increase of cross border activities encouraged by the service directive in particular, electronic procedures are more important than ever. The project has therefore set up an infrastructure including the transfer of documents in a metadata container and the validation of documents. Cross-border service pilots have been implemented to show the added value of the SPOCS infrastructure. To overcome the problem of semantic equivalence of documents, the European Commission has encouraged the implementation of a semantic layer to support the interoperability between administrative systems and the reuse of resources across government bodies. In the scope of the SPOCS project, we have implemented a set of pilots to illustrate the added value of implementing a semantic interoperability layer and developing common models and vocabularies. Common ontologies have been designed to describe documents, equivalences, and procedures. Specific access mechanisms have been implemented to automatically verify the status of European companies. Finally, semantic rules have been created to determine the procedure that needs to be used in order to provide a cross border service. SPOCS resources are posted to the JoinUp portal2. © The Authors, 2013.",2013,2026-01-17 07:02:48,2026-01-17 07:09:03,,176-186,,,,,,,,,,,Academic Conferences Limited info@academic-conferences.org,,English,,,Scopus,,,,"Journal Abbreviation: Proc. European Conf. on e-Gov., ECEG",,,,Interoperability; Semantic Web; Ontology; Semantics; Government data processing; Electronic document exchange; Ontologies; Semantic technologies; Documents; Electronic procedures; Questionnaire generation; Service directive; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,"Castelnovo, W.; Ferrari, E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the European Conference on e-Government, ECEG",,,,,,,,,,,,,,,,1,2026-01-17 08:22:23,
49,ZNQQFCYL,conferencePaper,2022,"Karunaratne, T.; Kontopoulos, E.",Supporting Learning Mobility With Student Data Harmonisation: A European Perspective,"Proc. Eur. Conf. e-Learn., ECEL",20488637 (ISSN); 9781629933191 (ISBN); 9781912764426 (ISBN); 9781911218593 (ISBN); 9781910810729 (ISBN); 9781912764785 (ISBN); 9781911218180 (ISBN); 9781910810712 (ISBN); 9781914587900 (ISBN); 9781912764075 (ISBN); 9781910309674 (ISBN),,10.34190/ecel.21.1.908,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172310602&doi=10.34190%2Fecel.21.1.908&partnerID=40&md5=c4f2e06b80f002984cbfb9b5dfd47d45,"Digitalisation promotes online education, internationalisation and student mobility. Based on the Bologna process and the European higher education area, learning mobility has been successful under Erasmus and other similar initiatives. However, a key issue for students and universities is that a significant amount of time is spent on the manual labour involved in the process of applying to degree programs overseas. It is therefore essential for higher education institutions to better exploit the potential of technology and Web 2.0 to enable a secure exchange of evidence during application for degree programs and academic courses in foreign Higher Education Institutions, as well as applying for study grants and obtaining recognition for academic and other types of studies. Harmonisation of the student data is a key initial step for enabling such exchange. In this study, an approach to a secured exchange of education evidence is instrumented under the H2020 project Digital Europe for All (DE4A). Existing semantic standards for Web 2.0 applications, core vocabularies for public service data and semantic assets from existing best practices such as W3C, ISA2 core vocabularies, and Europass data model are used to curate data models that allow the exchange of a higher education diploma, secondary education diploma and information of special needs (disability, large family), which is required by students when requesting study grants (waive of tuition fees). The semantic interoperability agreements are established cross-border through these data models called canonical evidences. The canonical evidences are tested with the national data services of three countries, Portugal, Slovenia, and Spain. The final data models are implemented in XML Schema format that could be used by any educational organisation intending to use trusted public service databases within Europe to automatically retrieve information on students’ degrees. The validity of the canonical evidences is tested on two pilot occasions within the DE4A project. The outcome of this study summarises the procedural requirements for evidences when applying for a higher degree program and seeking grants. Furthermore, it resulted in verified canonical evidence data models that fulfil the procedural requirements for applying for studying abroad. © 2021 Academic Conferences Limited. All rights reserved.",2022,2026-01-17 07:02:47,2026-01-17 07:09:03,,156-164,,,,,,,,,,,Academic Conferences and Publishing International Limited,,English,,,Scopus,,,,"Journal Abbreviation: Proc. Eur. Conf. e-Learn., ECEL",,,,Interoperability; Semantic Web; Semantics; semantic interoperability; Cross-border; Public services; Semantic interoperability; Application programs; cross-border; data harmonisation; Data harmonization; Degree program; E-learning; Education computing; High educations; higher education; Higher education institutions; Internationalisation; learning mobility; Learning mobility; On-line education; Students; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,"Fotaris, P.; Blake, A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the European Conference on e-Learning, ECEL",,,,,,,,,,,,,,,,1,2026-01-17 08:24:26,
91,EH8LIHMK,bookSection,2019,"Cetl, V.; Tomas, R.; Kotsev, A.; de Lima, V.N.; Smith, R.S.; Jobst, M.",Establishing Common Ground Through INSPIRE: The Legally-Driven European Spatial Data Infrastructure,Lect. Notes Geoinformation Cartogr.,18632246 (ISSN); 18632351 (ISSN); 9783642158612 (ISBN); 9783642105944 (ISBN); 9783540770589 (ISBN); 9783319036434 (ISBN); 9783319639468 (ISBN); 9783319337821 (ISBN); 9783642224416 (ISBN); 9783540789451 (ISBN); 9783319005157 (ISBN); 9783642363795 (ISBN),,10.1007/978-3-319-72434-8_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212505666&doi=10.1007%2F978-3-319-72434-8_3&partnerID=40&md5=cbe93befac9fd5c03787f4d063c66a63,"Back in the 1990s, there were several barriers for accessing and using the spatial data and information necessary for environmental management and policy making in Europe. These included different data policies, encodings, formats and semantics, to name a few. Data was collected for, and applied to, domain specific use cases and comprehensive standards did not exist, all impacting on the re-usability of such public sector data. To release the potential of spatial data held by public authorities and improve evidence-based environmental policy making, action was needed at all levels (Local, Regional, National, European) to introduce more effective data and information management and to make data available for citizens’ interest. The INSPIRE Directive, the Infrastructure for Spatial Information in Europe, directly addresses this set of problems. The Directive came into force on 15 May 2007, with full implementation in every EU Member State required by 2021. It combines both, a legal and a technical framework for the EU Member States, to make relevant spatial data accessible and reused. Specifically, this has meant making data discoverable and interoperable through a common set of standards, data models and Internet services. The Directive’s data scope covers 34 themes of cross-sector relevance as a decentralised infrastructure where data remains at the place it can be best maintained. A great deal of experience has been gained by public administrations through its implementation. Due to its complexity and wide scope, this is taking place in a stepwise manner, with benefits already emerging as important deadlines approached. Efficient and effective coordination are following the participatory approach established in its design. It is timely to reflect on 10 years of progress of the “cultural change” which the European Spatial Data Infrastructure represents. We therefore, consider the lessons INSPIRE is offering for those interested in joined-up and federated approaches to geospatial data-sharing and semantic interoperability across borders and sectors. The approach itself is evolving through this experience. © Springer International Publishing AG, part of Springer Nature 2019.",2019,2026-01-17 07:02:47,2026-01-17 07:09:03,,63-84,,,2019,,,,,,,,Springer Science and Business Media Deutschland GmbH,,English,,,Scopus,,,,Journal Abbreviation: Lect. Notes Geoinformation Cartogr.,,,,Policy making; Data consistency; Data interoperability; Data and information; Data interoperability service-oriented architecture; Data interoperability Service-oriented architecture; European spatial data infrastructure; INSPIRE; Soa (serviceoriented architecture); Spatial data; Spatial data infrastructure; Spatial informations; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-01-17 08:26:05,
79,V5PN4DN6,conferencePaper,2020,"Krastev, E.; Kovatchev, P.; Tcharaktchiev, D.; Abanos, S.",Primary use case implementation of international patient summary on openehr platform,"Proc. IADIS Int. Conf. e-Health, EH - Part Multi Conf. Comput. Sci. Inf. Syst., MCCSIS",9789898704184 (ISBN),,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101175213&partnerID=40&md5=abe198cf09565054ac4d4fb54adff1fb,"The International Patient Summary (IPS) comprises the essential clinical data that must be available in case an European citizen needs unscheduled or urgent health care while abroad. The implementation of cross- border exchange of IPS is among the highest priorities of the European commission. Detailed functional requirements and use cases have been elaborated in addition to a new IPS standard in recent years as part of the efforts for enabling interoperability in information exchange and continuity of care. This paper presents a practicable approach and a solution to the problem of achieving semantic interoperability among the IPS sources in the European union. A novelty approach in this paper is first to design and analyze the business process of the primary use case and after that to propose a solution. It allows to identify several activities that are out of the scope in the existing documents and at the same time require special attention at the stage of software implementation. The proposed solution makes use of the openEHR information model to represent the IPS standard dataset in terms of archetypes. This way we preserve the semantic context in clinical concepts as well as introduce interoperability among data providers. Moreover, it overcomes the severe drawback of the message paradigm, where every two communicating parties must apply transformation of existing data that is specific to their needs. The discussion considers a computer experiment with real data employing a fully functional web application for IPS cross-border exchange. © Proceedings of the 12th IADIS International Conference e-Health 2020, EH 2020 - Part of the 14th Multi Conference on Computer Science and Information Systems, MCCSIS 2020. All rights reserved.",2020,2026-01-17 07:02:47,2026-01-17 07:09:03,,167-174,,,,,,,,,,,IADIS,,English,,,Scopus,,,,"Journal Abbreviation: Proc. IADIS Int. Conf. e-Health, EH - Part Multi Conf. Comput. Sci. Inf. Syst., MCCSIS",,,,Interoperability; Semantics; Metadata; Information systems; Information use; Information exchanges; Semantic interoperability; Semantic Interoperability; Information Modeling; Computer experiment; Business Process Model and Notation; Continuity of cares; European Commission; Functional requirement; International law; International Patient Summary; OpenEHR Information Model; Software implementation; Use Case; Web Application; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-01-17 09:12:35,
156,CG69UY22,conferencePaper,2014,"Müller, H.; Würriehausen, F.",Ensuring interoperability of geographic information in local government and inspire,"Int. Multidisciplinary Sci. Geoconf. Surveying Geology Mining Ecology Manage., SGEM",13142704 (ISSN); 9786197603200 (ISBN); 9786197603323 (ISBN); 9786197105810 (ISBN); 9786197105049 (ISBN); 9786197105582 (ISBN); 978-619-7105-01-8 (ISBN); 9786197408423 (ISBN); 9786197603743 (ISBN); 9786197105186 (ISBN); 9786197408270 (ISBN),,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946750026&partnerID=40&md5=153600a87bcdb0f75957d6706634c4ec,"The paper presents a case study which highlights interoperable aspects of geographic information in a local government within the Infrastructure for Spatial Information in Europe (INSPIRE). Special emphasis of data and language heterogeneity specifically is given to the integration of community data within the higher infrastructure levels. The existing 34 data themes needed for environmental applications are referenced in Annexes I, II and III of the INSPIRE directive. The framework for the implementation is given by key components specified through technical implementing rules. The rules enable sharing of environmental spatial information among public sector organizations and better facilitate public access to spatial information across the European Union. For selected municipal data themes, the relation with the implementing rules will be investigated. The considerations are guided by the objectives of searchability, usability, reusability, composability and interoperability of digital data. Based on the current situation in the context of geographic information, data transformation and the usage of standards of the semantic web and ontologies to solve heterogeneity problems in data management are discussed. Cases of interoperability at the semantic, syntactic, and organisational level as well as results of data transformation and cartographic enhancement of local government data within the European spatial data infrastructure will be illustrated in the paper. In that way, we demonstrate how extensive knowledge which is already available for local government data can be used at the European level. © SGEM2014.",2014,2026-01-17 07:02:48,2026-01-17 07:09:03,,559-566,,2,3,,,,,,,,International Multidisciplinary Scientific Geoconference sgem@sgem.org,,English,,,Scopus,,,,"Journal Abbreviation: Int. Multidisciplinary Sci. Geoconf. Surveying Geology Mining Ecology Manage., SGEM",,,,Interoperability; Semantic Web; Metadata; Geographic information; Information management; Reusability; INSPIRE; Spatial data infrastructure; Local government; Remote sensing; Local Government; Cartographic enhancement; Environmental applications; Organisational level; Public sector organization; SDI; LR_Query: Scopus_02; LR_SearchDate: 2026-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",,,,,,,,,,,,,,,,1,2026-01-17 09:13:10,
